# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 0 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: F=original form, R=root found in dict, L=lemma in matching dict entry, 
#                    AF/AR/AL=affix followed by F/R/L, FA/RA/LA=F/R/L followed by affix
# 9 Consider the suffix always, not only for unknown words.
# 00 How to retokenize the word if necessary (see uer manual).
#==============================================================

<Prefixes>

# --- Prefixos patrimonials

-los-en	*	^V	*	0	1	0	L	1	$$+-los+-en:$$+PP+PP
-los-hi	*	^V	*	0	1	0	L	1	$$+-los+-hi:$$+PP+PP
-los-ho	*	^V	*	0	1	0	L	1	$$+-los+-ho:$$+PP+PP
-los-la	*	^V	*	0	1	0	L	1	$$+-los+-la:$$+PP+PP
-los-les	*	^V	*	0	1	0	L	1	$$+-los+-les:$$+PP+PP
'ls-hi	*	^V	*	0	1	0	L	1	$$+'ls+-hi:$$+PP+PP
'ls-la	*	^V	*	0	1	0	L	1	$$+'ls+-la:$$+PP+PP
'ls-les	*	^V	*	0	1	0	L	1	$$+'ls+-les:$$+PP+PP
-me-li	*	^V	*	0	1	0	L	1	$$+-me+-li:$$+PP+PP
-n'hi	*	^V	*	0	1	0	L	1	$$+-n+'hi:$$+PP+PP
-ne	*	^V	*	0	1	0	L	1	$$+-ne:$$+PP
-nos-en	*	^V	*	0	1	0	L	1	$$+-nos+-en:$$+PP+PP
-nos-hi	*	^V	*	0	1	0	L	1	$$+-nos+-hi:$$+PP+PP
-nos-ho	*	^V	*	0	1	0	L	1	$$+-nos+-ho:$$+PP+PP
-nos-li	*	^V	*	0	1	0	L	1	$$+-nos+-li:$$+PP+PP
